t_epoch,power_w
1783195687.881,33.29
1783195687.981,33.29
1783195688.082,33.15
1783195688.182,33.15
1783195688.283,33.15
1783195688.383,33.15
1783195688.484,33.15
1783195688.584,33.27
1783195688.684,33.27
1783195688.785,33.27
1783195688.886,33.27
1783195688.986,33.27
1783195689.087,33.36
1783195689.187,33.36
1783195689.288,33.36
1783195689.388,33.36
1783195689.488,33.36
1783195689.589,33.39
1783195689.689,33.39
1783195689.789,33.39
1783195689.890,33.39
1783195689.991,33.39
1783195690.091,33.49
1783195690.192,33.49
1783195690.293,33.49
1783195690.393,33.49
1783195690.493,33.49
1783195690.594,33.37
1783195690.694,33.37
1783195690.794,33.37
1783195690.895,33.37
1783195690.995,33.37
1783195691.096,33.13
1783195691.196,33.13
1783195691.296,33.13
1783195691.397,33.13
1783195691.498,33.13
1783195691.598,33.28
1783195691.698,33.28
1783195691.799,33.28
1783195691.900,33.28
1783195692.000,33.28
1783195692.101,33.32
1783195692.201,33.32
1783195692.302,33.32
1783195692.402,33.32
1783195692.502,33.32
1783195692.603,33.27
1783195692.704,33.27
1783195692.804,33.27
1783195692.905,33.27
1783195693.005,33.27
1783195693.106,33.32
1783195693.206,33.32
1783195693.307,33.32
1783195693.407,33.32
1783195693.508,33.32
1783195693.608,33.37
1783195693.708,33.37
1783195693.809,33.37
1783195693.910,33.37
1783195694.010,33.37
1783195694.111,33.24
1783195694.212,33.24
1783195694.312,33.24
1783195694.412,33.24
1783195694.513,33.24
1783195694.613,33.26
1783195694.713,33.26
1783195694.814,33.26
1783195694.914,33.26
1783195695.015,33.26
1783195695.115,33.19
1783195695.216,33.19
1783195695.316,33.19
1783195695.416,33.19
1783195695.517,33.19
1783195695.617,33.31
1783195695.718,33.31
1783195695.818,33.31
1783195695.918,33.31
1783195696.019,33.31
1783195696.119,33.40
1783195696.220,33.40
1783195696.320,33.40
1783195696.420,33.40
1783195696.520,33.40
1783195696.621,33.31
1783195696.722,33.31
1783195696.822,33.31
1783195696.923,33.31
1783195697.023,33.31
1783195697.124,33.30
1783195697.224,33.30
1783195697.325,33.30
1783195697.425,33.30
1783195697.526,33.30
1783195697.626,33.34
1783195697.727,33.34
1783195697.827,33.34
1783195697.928,33.34
1783195698.029,33.34
1783195698.129,33.32
1783195698.230,33.32
1783195698.330,33.32
1783195698.430,33.32
1783195698.531,33.32
1783195698.631,33.29
1783195698.731,33.29
1783195698.832,33.29
1783195698.933,33.29
1783195699.033,33.29
1783195699.134,33.34
1783195699.234,33.34
1783195699.335,33.34
