t_epoch,charge_uah,voltage_mv
1783126900.032,5030000,8615
1783126902.177,5030000,8615
1783126904.300,5030000,8615
1783126906.502,5030000,8615
1783126908.700,5030000,8615
1783126910.823,5030000,8615
1783126912.957,5030000,8615
1783126915.132,5030000,8615
1783126917.257,5010000,8634
1783126919.386,5010000,8634
1783126921.510,5010000,8634
1783126923.633,5010000,8634
1783126925.782,5010000,8634
1783126927.919,5010000,8634
1783126930.049,5010000,8634
1783126932.196,5010000,8634
1783126934.320,5010000,8634
1783126936.504,5010000,8634
1783126938.641,5010000,8634
1783126940.788,5010000,8634
1783126942.949,5010000,8634
1783126945.083,5010000,8634
1783126947.234,5010000,8634
1783126949.358,5010000,8634
1783126951.502,5010000,8634
1783126953.634,5010000,8634
1783126955.759,5010000,8634
1783126957.883,5010000,8634
1783126960.031,5010000,8634
1783126962.174,5010000,8634
1783126964.342,5010000,8634
1783126966.502,5010000,8634
1783126968.629,5010000,8634
1783126970.762,5010000,8634
1783126972.918,5010000,8634
1783126975.040,5010000,8634
1783126977.173,4992000,8626
1783126979.297,4992000,8626
1783126981.431,4992000,8626
1783126983.555,4992000,8626
1783126985.680,4992000,8626
1783126987.802,4992000,8626
1783126989.962,4992000,8626
1783126992.085,4992000,8626
1783126994.250,4992000,8626
1783126996.391,4986000,8628
1783126998.508,4986000,8628
1783127000.632,4986000,8628
1783127002.766,4986000,8628
1783127004.912,4986000,8628
1783127007.037,4986000,8628
1783127009.165,4986000,8628
1783127011.288,4986000,8628
1783127013.450,4986000,8628
1783127015.589,4986000,8628
1783127017.757,4986000,8628
1783127019.892,4986000,8628
1783127022.017,4986000,8628
1783127024.142,4986000,8628
1783127026.266,4986000,8628
1783127028.392,4986000,8628
1783127030.524,4986000,8628
1783127032.655,4986000,8628
1783127034.821,4986000,8628
1783127036.948,4974000,8622
1783127039.128,4974000,8622
1783127041.255,4974000,8622
1783127043.385,4974000,8622
1783127045.523,4974000,8622
1783127047.653,4974000,8622
1783127049.788,4974000,8622
1783127051.912,4974000,8622
1783127054.065,4974000,8622
1783127056.224,4974000,8622
1783127058.374,4974000,8622
1783127060.506,4974000,8622
1783127062.663,4974000,8622
1783127064.798,4974000,8622
1783127066.962,4974000,8622
1783127069.173,4974000,8622
1783127071.323,4974000,8622
1783127073.460,4974000,8622
1783127075.596,4974000,8622
1783127077.757,4974000,8622
1783127079.881,4974000,8622
1783127082.061,4974000,8622
1783127084.185,4974000,8622
1783127086.332,4974000,8622
1783127088.475,4974000,8622
1783127090.628,4974000,8622
1783127092.752,4974000,8622
1783127094.927,4974000,8622
1783127097.050,4956000,8620
1783127099.174,4956000,8620
1783127101.355,4956000,8620
1783127103.478,4956000,8620
1783127105.655,4956000,8620
1783127107.781,4956000,8620
1783127109.917,4956000,8620
1783127112.049,4956000,8620
1783127114.181,4956000,8620
1783127116.336,4956000,8620
1783127118.502,4956000,8620
1783127120.667,4956000,8620
1783127122.822,4956000,8620
1783127124.955,4956000,8620
1783127127.112,4956000,8620
1783127129.252,4956000,8620
1783127131.386,4956000,8620
1783127133.520,4956000,8620
1783127135.700,4956000,8620
1783127137.844,4956000,8620
1783127140.021,4956000,8620
1783127142.183,4956000,8620
1783127144.340,4956000,8620
1783127146.480,4956000,8620
1783127148.597,4956000,8620
1783127150.719,4956000,8620
1783127152.842,4956000,8620
1783127154.993,4956000,8620
1783127157.121,4938000,8613
1783127159.291,4938000,8613
1783127161.469,4938000,8613
1783127163.629,4938000,8613
1783127165.751,4938000,8613
1783127167.894,4938000,8613
1783127170.045,4938000,8613
1783127172.168,4938000,8613
1783127174.292,4938000,8613
1783127176.428,4938000,8613
1783127178.573,4938000,8613
1783127180.698,4938000,8613
1783127182.848,4938000,8613
1783127184.994,4938000,8613
1783127187.163,4938000,8613
1783127189.295,4938000,8613
1783127191.466,4938000,8613
1783127193.590,4938000,8613
1783127195.732,4938000,8613
1783127197.855,4938000,8613
1783127199.987,4938000,8613
1783127202.150,4938000,8613
1783127204.274,4938000,8613
1783127206.464,4938000,8613
1783127208.588,4938000,8613
1783127210.744,4938000,8613
1783127212.862,4938000,8613
1783127214.997,4938000,8613
1783127217.151,4920000,8606
1783127219.274,4920000,8606
1783127221.453,4920000,8606
1783127223.595,4920000,8606
1783127225.719,4920000,8606
1783127227.853,4920000,8606
1783127229.977,4920000,8606
1783127232.101,4920000,8606
1783127234.237,4920000,8606
1783127236.434,4920000,8606
1783127238.594,4920000,8606
1783127240.725,4920000,8606
1783127242.873,4920000,8606
1783127244.998,4920000,8606
1783127247.122,4920000,8606
1783127249.288,4920000,8606
1783127251.411,4920000,8606
1783127253.534,4920000,8606
1783127255.714,4920000,8606
1783127257.854,4906000,8602
1783127260.002,4906000,8602
1783127262.126,4906000,8602
1783127264.263,4906000,8602
1783127266.436,4906000,8602
1783127268.615,4906000,8602
1783127270.777,4906000,8602
1783127272.913,4906000,8602
1783127275.065,4906000,8602
1783127277.216,4900000,8597
1783127279.376,4900000,8597
1783127281.521,4900000,8597
1783127283.850,4900000,8597
1783127285.984,4900000,8597
1783127288.117,4900000,8597
1783127290.249,4900000,8597
1783127292.381,4900000,8597
1783127294.710,4900000,8597
1783127296.970,4900000,8597
1783127299.309,4900000,8597
1783127301.566,4900000,8597
1783127303.822,4900000,8597
1783127306.036,4900000,8597
1783127308.159,4900000,8597
1783127310.285,4900000,8597
1783127312.622,4900000,8597
1783127314.762,4900000,8597
1783127316.885,4900000,8597
1783127319.010,4900000,8597
1783127321.339,4900000,8597
1783127323.608,4900000,8597
1783127325.731,4900000,8597
1783127327.870,4900000,8597
1783127330.235,4900000,8597
1783127332.358,4900000,8597
1783127334.499,4900000,8597
1783127336.631,4900000,8597
1783127338.862,4900000,8597
1783127341.194,4900000,8597
1783127343.460,4900000,8597
1783127345.582,4900000,8597
1783127347.866,4900000,8597
1783127350.110,4900000,8597
1783127352.460,4900000,8597
1783127354.587,4900000,8597
1783127356.760,4900000,8597
1783127358.930,4900000,8597
1783127361.063,4900000,8597
1783127363.381,4900000,8597
1783127365.672,4900000,8597
1783127367.879,4900000,8597
1783127370.053,4900000,8597
1783127372.244,4900000,8597
1783127374.472,4900000,8597
1783127376.631,4900000,8597
1783127378.881,4900000,8597
1783127381.054,4900000,8597
1783127383.434,4900000,8597
1783127385.731,4900000,8597
1783127387.977,4900000,8597
1783127390.141,4900000,8597
1783127392.530,4900000,8597
1783127394.761,4900000,8597
1783127396.996,4900000,8597
1783127399.306,4900000,8597
1783127401.503,4900000,8597
1783127403.652,4900000,8597
1783127405.911,4900000,8597
1783127408.044,4880000,8604
1783127410.166,4880000,8604
1783127412.326,4880000,8604
1783127414.450,4880000,8604
1783127416.593,4880000,8604
1783127418.773,4880000,8604
1783127420.896,4880000,8604
1783127423.092,4880000,8604
1783127425.219,4880000,8604
1783127427.388,4880000,8604
1783127429.511,4880000,8604
1783127431.644,4880000,8604
1783127433.823,4880000,8604
1783127435.947,4880000,8604
1783127438.085,4880000,8604
1783127440.250,4880000,8604
1783127442.375,4880000,8604
1783127444.525,4880000,8604
1783127446.675,4880000,8604
1783127448.826,4880000,8604
1783127450.988,4880000,8604
1783127453.131,4880000,8604
1783127455.321,4880000,8604
1783127457.448,4880000,8604
1783127459.611,4880000,8604
1783127461.736,4880000,8604
1783127463.876,4880000,8604
1783127466.016,4880000,8604
1783127468.382,4880000,8604
1783127470.524,4880000,8604
1783127472.697,4880000,8604
1783127475.060,4880000,8604
1783127477.225,4880000,8604
1783127479.440,4880000,8604
1783127481.619,4880000,8604
1783127483.842,4880000,8604
1783127486.206,4880000,8604
1783127488.476,4880000,8604
1783127490.603,4880000,8604
1783127492.851,4880000,8604
1783127495.120,4880000,8604
1783127497.483,4880000,8604
1783127499.608,4880000,8604
1783127501.983,4880000,8604
1783127504.266,4880000,8604
1783127506.389,4880000,8604
1783127508.523,4880000,8604
1783127510.878,4880000,8604
1783127513.174,4880000,8604
1783127515.386,4880000,8604
1783127517.586,4880000,8604
1783127519.887,4880000,8604
1783127522.034,4880000,8604
1783127524.286,4880000,8604
1783127526.414,4880000,8604
1783127528.845,4880000,8604
1783127531.051,4880000,8604
1783127533.215,4880000,8604
1783127535.411,4880000,8604
1783127537.718,4880000,8604
1783127539.862,4880000,8604
1783127542.071,4880000,8604
1783127544.480,4880000,8604
1783127546.603,4880000,8604
1783127548.860,4880000,8604
1783127551.223,4880000,8604
1783127553.472,4880000,8604
1783127555.613,4880000,8604
1783127557.877,4880000,8604
1783127560.011,4880000,8604
1783127562.204,4880000,8604
1783127564.327,4880000,8604
1783127566.512,4880000,8604
1783127568.641,4880000,8604
1783127570.884,4880000,8604
1783127573.227,4880000,8604
1783127575.351,4880000,8604
1783127577.518,4880000,8604
1783127579.678,4846000,8598
1783127581.946,4846000,8598
1783127584.087,4846000,8598
1783127586.322,4846000,8598
1783127588.498,4846000,8598
1783127590.629,4846000,8598
1783127592.801,4846000,8598
1783127594.932,4846000,8598
1783127597.102,4846000,8598
1783127599.287,4846000,8598
1783127601.419,4846000,8598
1783127603.549,4846000,8598
1783127605.707,4846000,8598
1783127607.842,4846000,8598
1783127610.001,4846000,8598
1783127612.185,4846000,8598
1783127614.339,4846000,8598
1783127616.513,4846000,8598
1783127618.689,4846000,8598
1783127620.813,4846000,8598
1783127622.974,4846000,8598
1783127625.115,4846000,8598
1783127627.281,4846000,8598
1783127629.404,4846000,8598
1783127631.590,4832000,8579
1783127633.788,4832000,8579
1783127635.958,4832000,8579
1783127638.109,4832000,8579
1783127640.325,4832000,8579
1783127642.467,4832000,8579
1783127644.617,4832000,8579
1783127646.740,4832000,8579
1783127648.889,4832000,8579
1783127651.012,4832000,8579
1783127653.141,4832000,8579
1783127655.301,4832000,8579
1783127657.426,4832000,8579
1783127659.550,4832000,8579
1783127661.734,4824000,8576
1783127663.857,4824000,8576
1783127665.988,4824000,8576
1783127668.123,4824000,8576
1783127670.260,4824000,8576
1783127672.411,4824000,8576
1783127674.566,4824000,8576
1783127676.712,4824000,8576
1783127678.836,4824000,8576
1783127680.969,4824000,8576
1783127683.138,4824000,8576
1783127685.261,4824000,8576
1783127687.408,4824000,8576
1783127689.532,4824000,8576
1783127691.656,4824000,8576
1783127693.802,4824000,8576
1783127695.960,4824000,8576
1783127698.105,4824000,8576
1783127700.236,4824000,8576
1783127702.366,4824000,8576
1783127704.490,4824000,8576
1783127706.711,4824000,8576
1783127708.866,4824000,8576
1783127710.988,4824000,8576
1783127713.122,4824000,8576
1783127715.249,4824000,8576
1783127717.387,4824000,8576
1783127719.566,4824000,8576
1783127721.702,4806000,8591
1783127723.850,4806000,8591
1783127726.042,4806000,8591
1783127728.189,4806000,8591
1783127730.323,4806000,8591
1783127732.486,4806000,8591
1783127734.642,4806000,8591
1783127736.788,4806000,8591
1783127738.924,4806000,8591
1783127741.103,4806000,8591
1783127743.236,4806000,8591
1783127745.377,4806000,8591
1783127747.508,4806000,8591
1783127749.672,4806000,8591
1783127751.795,4806000,8591
1783127753.941,4806000,8591
1783127756.096,4806000,8591
1783127758.248,4806000,8591
1783127760.396,4806000,8591
1783127762.585,4806000,8591
1783127764.712,4806000,8591
1783127766.839,4806000,8591
1783127769.002,4806000,8591
1783127771.178,4806000,8591
1783127773.338,4806000,8591
1783127775.512,4806000,8591
1783127777.662,4806000,8591
1783127779.823,4806000,8591
1783127781.953,4788000,8556
1783127784.111,4788000,8556
1783127786.238,4788000,8556
1783127788.376,4788000,8556
1783127790.551,4788000,8556
1783127792.681,4788000,8556
1783127794.860,4788000,8556
1783127796.998,4788000,8556
1783127799.124,4788000,8556
1783127801.264,4788000,8556
1783127803.389,4788000,8556
1783127805.514,4788000,8556
1783127807.641,4788000,8556
1783127809.790,4788000,8556
1783127811.945,4788000,8556
1783127814.112,4788000,8556
1783127816.249,4788000,8556
1783127818.388,4788000,8556
1783127820.549,4788000,8556
1783127822.715,4788000,8556
1783127824.848,4788000,8556
1783127826.982,4788000,8556
1783127829.142,4788000,8556
1783127831.276,4788000,8556
1783127833.410,4788000,8556
1783127835.565,4788000,8556
1783127837.694,4788000,8556
1783127839.819,4788000,8556
1783127841.941,4768000,8546
1783127844.072,4768000,8546
1783127846.202,4768000,8546
1783127848.325,4768000,8546
1783127850.446,4768000,8546
1783127852.581,4768000,8546
1783127854.717,4768000,8546
1783127856.841,4764000,8545
1783127858.965,4764000,8545
1783127861.097,4764000,8545
1783127863.266,4764000,8545
1783127865.409,4764000,8545
1783127867.562,4764000,8545
1783127869.698,4764000,8545
1783127871.871,4764000,8545
1783127873.998,4764000,8545
1783127876.158,4764000,8545
1783127878.319,4764000,8545
1783127880.500,4764000,8545
1783127882.671,4764000,8545
1783127884.796,4764000,8545
1783127886.938,4764000,8545
1783127889.074,4764000,8545
1783127891.209,4764000,8545
1783127893.335,4764000,8545
1783127895.471,4764000,8545
1783127897.645,4764000,8545
1783127899.812,4764000,8545
1783127901.939,4750000,8542
1783127904.073,4750000,8542
1783127906.206,4750000,8542
1783127908.330,4750000,8542
1783127910.477,4750000,8542
1783127912.609,4750000,8542
1783127914.732,4750000,8542
1783127916.866,4750000,8542
1783127918.998,4750000,8542
1783127921.129,4750000,8542
1783127923.272,4750000,8542
1783127925.396,4750000,8542
1783127927.585,4750000,8542
1783127929.784,4750000,8542
1783127931.942,4750000,8542
1783127934.119,4750000,8542
1783127936.243,4750000,8542
1783127938.367,4750000,8542
1783127940.506,4750000,8542
1783127942.673,4738000,8533
1783127944.806,4738000,8533
1783127946.932,4738000,8533
1783127949.056,4738000,8533
1783127951.179,4738000,8533
1783127953.302,4738000,8533
1783127955.467,4738000,8533
1783127957.597,4738000,8533
1783127959.737,4738000,8533
1783127961.891,4732000,8507
1783127964.021,4732000,8507
1783127966.169,4732000,8507
1783127968.362,4732000,8507
1783127970.516,4732000,8507
1783127972.648,4732000,8507
1783127974.779,4732000,8507
1783127976.979,4732000,8507
1783127979.132,4732000,8507
1783127981.265,4732000,8507
1783127983.418,4732000,8507
1783127985.582,4732000,8507
1783127987.730,4732000,8507
1783127989.903,4732000,8507
1783127992.036,4732000,8507
1783127994.213,4732000,8507
1783127996.378,4732000,8507
1783127998.511,4732000,8507
1783128000.644,4732000,8507
1783128002.812,4732000,8507
1783128005.001,4732000,8507
1783128007.147,4732000,8507
1783128009.309,4732000,8507
1783128011.462,4732000,8507
1783128013.595,4732000,8507
1783128015.733,4732000,8507
1783128017.937,4732000,8507
1783128020.077,4732000,8507
1783128022.218,4716000,8548
1783128024.396,4716000,8548
1783128026.910,4716000,8548
1783128029.143,4716000,8548
1783128031.300,4716000,8548
1783128033.514,4716000,8548
1783128035.637,4716000,8548
1783128037.950,4716000,8548
1783128040.158,4716000,8548
1783128042.304,4716000,8548
1783128044.439,4716000,8548
1783128046.590,4716000,8548
1783128049.053,4716000,8548
1783128051.316,4716000,8548
1783128053.452,4716000,8548
1783128055.584,4716000,8548
1783128057.718,4716000,8548
1783128059.864,4716000,8548
1783128061.988,4716000,8548
1783128064.110,4716000,8548
1783128066.262,4716000,8548
1783128068.395,4716000,8548
1783128070.529,4716000,8548
1783128072.682,4716000,8548
1783128074.851,4716000,8548
1783128077.033,4716000,8548
1783128079.186,4716000,8548
1783128081.334,4704000,8545
1783128083.556,4704000,8545
1783128085.729,4704000,8545
1783128087.914,4704000,8545
1783128090.091,4704000,8545
1783128092.245,4704000,8545
1783128094.443,4704000,8545
1783128096.628,4704000,8545
1783128098.764,4704000,8545
1783128100.900,4704000,8545
1783128103.035,4704000,8545
1783128105.202,4704000,8545
1783128107.334,4704000,8545
1783128109.467,4704000,8545
1783128111.672,4704000,8545
1783128113.807,4704000,8545
1783128115.940,4704000,8545
1783128118.071,4704000,8545
1783128120.240,4704000,8545
1783128122.391,4704000,8545
1783128124.610,4704000,8545
1783128126.762,4704000,8545
1783128129.070,4704000,8545
1783128131.508,4704000,8545
1783128133.666,4704000,8545
1783128135.798,4704000,8545
1783128137.985,4704000,8545
1783128140.131,4704000,8545
1783128142.418,4692000,8539
1783128144.623,4692000,8539
1783128146.839,4692000,8539
1783128149.062,4692000,8539
1783128151.279,4692000,8539
1783128153.423,4688000,8538
1783128155.593,4688000,8538
1783128157.741,4688000,8538
1783128159.886,4688000,8538
1783128162.018,4688000,8538
1783128164.171,4688000,8538
1783128166.299,4688000,8538
1783128168.471,4688000,8538
1783128170.630,4688000,8538
1783128172.764,4688000,8538
1783128174.975,4688000,8538
1783128177.151,4688000,8538
1783128179.283,4688000,8538
1783128181.425,4688000,8538
1783128183.577,4688000,8538
