device,config,model,query_id,dataset,warmup,ttft_ms,e2e_ms,t_retrieval_ms,t_prefill_ms,t_decode_ms,n_tokens,peak_rss_mb,t_query_start,t_query_end,energy_gross_j,energy_idle_subtracted_j,answer_text,retrieved_ids,is_mock,em,f1,faithfulness,accuracy_harmonic
laptop,C1,gemma-2-2b-it,squad-10,squad,0,3236.363,3969.056,25.595,3210.768,46.2664,15,12283.8,1783116321.8939404,1783116325.8629746,127.4298,15.7785,"Sunday, February 3, 2019.",wiki-3830|wiki-3826|wiki-3833,0,0,0.3333,1.0,0.5
laptop,C1,gemma-2-2b-it,squad-11,squad,0,2714.617,3077.131,22.808,2691.809,46.3313,7,12283.5,1783116326.1492257,1783116329.2263541,98.7943,12.2328,The Denver Broncos.,wiki-0|wiki-3|wiki-4,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-12,squad,0,3049.075,3377.066,6.76,3042.315,40.1209,7,12280.3,1783116329.501404,1783116332.8784575,108.4237,13.4251,Levi's Stadium,wiki-0|wiki-4|wiki-3830,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-13,squad,0,3249.525,3623.137,11.394,3238.131,45.5817,8,12280.3,1783116333.1853094,1783116336.8084006,116.323,14.4032,"Santa Clara, California.",wiki-0|wiki-4|wiki-3830,0,0,0.8,1.0,0.8889
laptop,C1,gemma-2-2b-it,squad-14,squad,0,2322.498,2775.09,9.517,2312.981,66.5732,6,12267.5,1783116337.0652285,1783116339.8403356,89.0976,11.0322,Super Bowl L,wiki-1|wiki-0|wiki-3826,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-15,squad,0,3816.24,4220.877,6.689,3809.551,44.1374,8,12267.2,1783116340.1685133,1783116344.3893251,135.5134,16.7794,2015,wiki-0|wiki-3|wiki-3830,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-16,squad,0,3498.781,3988.825,8.966,3489.815,59.8503,8,12268.0,1783116344.6728878,1783116348.661671,128.0639,15.857,2016,wiki-0|wiki-3|wiki-2,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-17,squad,0,3201.802,3695.035,25.55,3176.252,57.4436,8,12268.0,1783116348.9800391,1783116352.6750681,118.6326,14.6892,"Santa Clara, California.",wiki-0|wiki-4|wiki-3830,0,0,0.8,1.0,0.8889
laptop,C1,gemma-2-2b-it,squad-18,squad,0,2852.156,3167.678,6.091,2846.065,43.2696,7,12268.0,1783116352.9371812,1783116356.1048527,101.7013,12.5928,Levi's Stadium,wiki-0|wiki-4|wiki-3830,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-19,squad,0,3316.787,3646.443,12.092,3304.695,41.8149,7,12267.9,1783116356.3579626,1783116360.004373,117.0717,14.4959,24–10,wiki-0|wiki-3|wiki-3833,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-20,squad,0,2964.649,3588.266,26.298,2938.351,45.165,13,12263.4,1783116360.2860959,1783116363.874336,113.7432,12.8039,"February 7, 2016.",wiki-0|wiki-3826|wiki-4,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-21,squad,0,2882.544,3269.46,25.663,2856.881,43.4831,8,12261.6,1783116364.1628432,1783116367.4322891,101.3855,9.414,2016,wiki-0|wiki-4|wiki-3826,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-22,squad,0,2928.222,3227.517,5.941,2922.281,51.1168,5,12258.6,1783116367.7126882,1783116370.9402015,100.0852,9.2933,Denver Broncos,wiki-6476|wiki-3831|wiki-0,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-23,squad,0,2693.952,3017.821,6.158,2687.794,40.2326,7,12258.1,1783116371.2292142,1783116374.2470326,93.1047,8.2116,St. Louis Rams,wiki-3833|wiki-0|wiki-3831,0,0,0.0,1.0,0.0
laptop,C1,gemma-2-2b-it,squad-24,squad,0,2367.064,2682.886,23.384,2343.68,40.294,7,12255.0,1783116374.4864008,1783116377.1693096,82.0273,6.5554,The Denver Broncos.,wiki-0|wiki-3|wiki-4,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-25,squad,0,3144.392,3501.867,6.961,3137.431,43.1621,8,12257.3,1783116377.487574,1783116380.990412,107.0958,8.5588,2015,wiki-0|wiki-3|wiki-2,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-26,squad,0,3137.303,3383.37,6.916,3130.387,41.0074,5,12254.3,1783116381.2574832,1783116384.64084,103.4428,8.2669,Denver Broncos,wiki-0|wiki-3833|wiki-3,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-27,squad,0,2857.116,3834.089,25.772,2831.344,49.3497,19,12255.5,1783116384.9375312,1783116388.7715697,117.2219,9.3681,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",wiki-0|wiki-4|wiki-3826,0,0,0.4,1.0,0.5714
laptop,C1,gemma-2-2b-it,squad-28,squad,0,3287.383,3515.565,21.659,3265.724,38.4956,5,12254.5,1783116389.0503576,1783116392.5659106,105.9191,7.0245,Super Bowl,wiki-3830|wiki-0|wiki-6476,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-29,squad,0,3168.7,3511.267,14.527,3154.173,57.5646,5,12237.4,1783116392.8229651,1783116396.3341765,105.2134,6.441,Denver Broncos,wiki-0|wiki-6476|wiki-2,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-30,squad,0,1530.092,2131.84,6.079,1524.013,57.2535,10,12220.5,1783116396.5816703,1783116398.713535,63.8813,3.9107,You don't know.,wiki-9215|wiki-9970|wiki-9966,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-31,squad,0,3180.328,3415.346,29.017,3151.311,38.5958,5,12184.9,1783116398.9928634,1783116402.4081843,102.3401,6.2651,3,wiki-3|wiki-2|wiki-0,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-32,squad,0,3215.338,3804.232,36.245,3179.093,69.9526,8,12189.4,1783116402.6516695,1783116406.4558792,113.9931,6.9784,Don't know.,wiki-6476|wiki-10281|wiki-819,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-33,squad,0,2728.656,2951.049,7.487,2721.169,39.3944,5,12250.7,1783116406.7224417,1783116409.6734998,88.4285,5.4134,Arizona Cardinals,wiki-792|wiki-2|wiki-235,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-34,squad,0,3216.854,3600.631,12.002,3204.852,41.1589,8,12228.2,1783116409.9436502,1783116413.5442398,107.8917,6.6049,The New England Patriots.,wiki-2|wiki-0|wiki-3,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-35,squad,0,3393.693,3667.972,6.598,3387.095,53.6496,5,12231.2,1783116413.8129387,1783116417.4808533,109.9091,6.7284,Arizona Cardinals,wiki-2|wiki-0|wiki-3833,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-36,squad,0,2993.545,3247.715,40.294,2953.251,41.1278,6,12229.7,1783116417.734653,1783116420.9823892,98.8463,7.4855,New England Patriots,wiki-2|wiki-0|wiki-792,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-37,squad,0,3442.269,3735.192,6.138,3436.131,40.9572,6,12236.0,1783116421.238983,1783116424.9741201,114.5865,9.5149,New England Patriots,wiki-3833|wiki-3825|wiki-2,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-38,squad,0,3142.002,3361.14,6.77,3135.232,38.0164,5,12303.1,1783116425.2701428,1783116428.631253,103.1022,8.5522,2,wiki-3836|wiki-3833|wiki-1988,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-39,squad,0,3172.256,3428.247,6.404,3165.852,38.3652,5,12299.1,1783116428.9090834,1783116432.33729,104.8863,8.4487,Cam Newton,wiki-2|wiki-3|wiki-5053,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-40,squad,0,3012.52,3454.445,31.434,2981.086,50.5082,8,12278.8,1783116432.6246626,1783116436.079086,105.6846,8.5096,15-1,wiki-7606|wiki-2|wiki-7610,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-41,squad,0,3235.656,3459.198,7.497,3228.159,36.4104,5,12260.0,1783116436.4168904,1783116439.8760629,105.8299,8.5213,Cam Newton,wiki-11016|wiki-0|wiki-2,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-42,squad,0,3405.421,3777.561,13.222,3392.199,41.7881,8,12245.5,1783116440.1186116,1783116443.8962007,115.0532,8.7874,12-4,wiki-694|wiki-0|wiki-2,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-43,squad,0,3197.198,3431.781,53.908,3143.29,40.0558,5,12248.6,1783116444.1773922,1783116447.609316,104.4026,7.8605,2,wiki-3836|wiki-3833|wiki-1988,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-44,squad,0,3134.024,3421.851,8.602,3125.422,40.7927,6,12262.1,1783116447.8954885,1783116451.31748,104.1004,7.8377,New England Patriots,wiki-0|wiki-2|wiki-3,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-45,squad,0,3677.392,3932.064,23.944,3653.448,43.6002,5,12259.0,1783116451.5975766,1783116455.5297923,119.6219,9.0063,Cam Newton,wiki-2|wiki-7612|wiki-7607,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-46,squad,0,3479.287,3758.951,6.575,3472.712,40.061,5,12249.9,1783116455.782456,1783116459.5415318,115.6987,9.9536,Arizona Cardinals,wiki-2|wiki-0|wiki-3825,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-47,squad,0,2951.789,3151.569,46.409,2905.38,38.7958,5,12247.5,1783116459.7930682,1783116462.944929,97.2381,8.5743,2,wiki-2|wiki-0|wiki-3836,0,1,1.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-48,squad,0,3545.331,3842.592,21.479,3523.852,48.6322,6,12249.8,1783116463.223588,1783116467.0663164,118.552,10.4538,New England Patriots,wiki-2|wiki-0|wiki-6476,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-49,squad,0,2026.039,2374.616,7.128,2018.911,43.86,7,12248.9,1783116467.4105816,1783116469.7853446,73.2638,6.4603,The Denver Broncos.,wiki-0|wiki-9970|wiki-9215,0,0,0.0,1.0,0.0
laptop,C1,gemma-2-2b-it,squad-50,squad,0,3181.601,3429.95,27.744,3153.857,40.5363,6,12257.4,1783116470.0776489,1783116473.507751,105.817,9.3261,New England Patriots,wiki-0|wiki-694|wiki-2,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-51,squad,0,1795815.731,1797039.483,6.897,1795808.834,235.5374,5,12262.1,1783116473.7709687,1783118270.8085938,29053.3913,0.0,Arizona Cardinals,wiki-0|wiki-2|wiki-3825,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-52,squad,0,3431.697,3944.673,4.666,3427.031,61.1781,8,12260.6,1783118272.2056158,1783118276.1504052,6.1736,0.0,Don't know.,wiki-0|wiki-5053|wiki-5060,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-53,squad,0,3066.316,3216.528,10.547,3055.769,23.5522,5,12263.8,1783118276.444768,1783118279.66141,5.034,0.0,Arizona Cardinals,wiki-2|wiki-0|wiki-3833,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-54,squad,0,3618.745,4108.84,3.582,3615.163,56.8001,8,12264.2,1783118279.887269,1783118283.996215,6.4305,0.0,1995,wiki-0|wiki-6476|wiki-2,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-55,squad,0,3533.896,3940.615,3.908,3529.988,72.3234,5,12275.3,1783118284.2941046,1783118288.2348368,127.9345,17.0794,Von Miller,wiki-3|wiki-0|wiki-4,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-56,squad,0,3904.3,4156.731,4.517,3899.783,46.6272,5,12278.9,1783118289.0490444,1783118293.2059035,210.3849,93.4499,Two.,wiki-3|wiki-0|wiki-10073,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-57,squad,0,3638.376,4853.799,4.973,3633.403,146.7444,8,12254.6,1783118293.6280336,1783118298.48194,262.7659,126.2226,Don't know.,wiki-3115|wiki-9974|wiki-3109,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-58,squad,0,4334.686,5060.821,4.358,4330.328,135.4436,5,12228.4,1783118298.887897,1783118303.9488437,275.3003,132.9329,Von Miller,wiki-3|wiki-0|wiki-2,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-59,squad,0,4098.218,4452.441,6.376,4091.842,66.5184,5,12229.5,1783118304.3031833,1783118308.755766,235.1781,109.9243,5,wiki-3|wiki-0|wiki-5060,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-60,squad,0,3723.695,4101.766,5.966,3717.729,87.0577,4,12289.9,1783118309.0817833,1783118313.1837354,206.6276,91.2373,Newton,wiki-3|wiki-793|wiki-0,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-61,squad,0,4208.301,5529.619,5.362,4202.939,115.7697,11,12264.4,1783118313.517216,1783118319.0469916,278.5514,122.9955,The context does not contain the answer.,wiki-3|wiki-5053|wiki-2,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-62,squad,0,3133.044,3815.289,5.39,3127.654,124.6936,5,12266.5,1783118319.4739547,1783118323.2893915,192.195,84.8645,Von Miller,wiki-3|wiki-2|wiki-5053,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-63,squad,0,2823.37,3194.793,6.555,2816.815,70.0714,5,12260.7,1783118323.7021728,1783118326.8971274,160.9394,71.0635,Three.,wiki-3|wiki-2|wiki-2849,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-64,squad,0,4955.747,6076.861,6.488,4949.259,214.8554,5,12240.5,1783118327.2769234,1783118333.3539414,306.1176,135.1675,2,wiki-3|wiki-10073|wiki-3832,0,0,0.0,1.0,0.0
laptop,C1,gemma-2-2b-it,squad-65,squad,0,2772.094,3107.537,11.786,2760.308,56.0232,5,12219.5,1783118333.812661,1783118336.9203503,151.4214,64.0003,Von Miller,wiki-3|wiki-0|wiki-9833,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-66,squad,0,3670.96,4046.72,8.626,3662.334,69.828,5,12272.1,1783118337.4296002,1783118341.4764948,174.235,60.3934,Linebacker,wiki-3|wiki-10279|wiki-377,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-67,squad,0,4127.947,4591.561,35.593,4092.354,86.2994,5,12266.5,1783118341.7989204,1783118346.3906457,197.6921,68.5242,5,wiki-3|wiki-5060|wiki-0,0,1,1.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-68,squad,0,3798.974,4169.689,9.138,3789.836,65.2104,5,12264.9,1783118346.7551196,1783118350.924969,179.4745,62.1741,2,wiki-3|wiki-0|wiki-10073,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-69,squad,0,3162.17,3477.458,27.402,3134.768,50.212,5,12274.0,1783118351.2599576,1783118354.737597,148.4987,50.6707,Von Miller,wiki-3|wiki-2|wiki-5053,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-70,squad,0,3373.077,3717.27,7.907,3365.17,61.9268,5,12273.7,1783118355.0599544,1783118358.7773814,159.0366,54.4632,5,wiki-3|wiki-5060|wiki-5053,0,1,1.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-71,squad,0,3236.768,4017.68,41.49,3195.278,68.6508,11,12273.5,1783118359.1152203,1783118363.133069,174.9891,61.9646,The context does not contain the answer.,wiki-3|wiki-0|wiki-2,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-72,squad,0,2475.919,2668.433,27.381,2448.538,40.6452,4,12285.8,1783118363.5540798,1783118366.222662,116.2434,41.1746,Three,wiki-3|wiki-2|wiki-2849,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-73,squad,0,3045.267,3825.068,9.768,3035.499,64.0007,12,12289.1,1783118366.5477536,1783118370.3729913,166.6274,59.0211,A fumble which they recovered for a touchdown.,wiki-3|wiki-2|wiki-793,0,0,0.2857,1.0,0.4444
laptop,C1,gemma-2-2b-it,squad-74,squad,0,2864.318,3155.045,6.05,2858.268,51.9618,5,12296.3,1783118370.7204268,1783118373.8756464,137.4414,48.6831,Von Miller,wiki-3|wiki-0|wiki-4,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-75,squad,0,2213.259,2488.984,5.471,2207.788,45.577,5,12280.1,1783118374.1631029,1783118376.652233,108.4265,38.4058,Linebacker,wiki-3|wiki-11821|wiki-5222,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-76,squad,0,3340.159,3712.903,6.319,3333.84,40.7529,8,12251.0,1783118376.9302006,1783118380.643265,161.7411,57.2904,Don't know.,wiki-5053|wiki-2|wiki-5060,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-77,squad,0,2920.026,3154.256,6.732,2913.294,38.738,5,12258.4,1783118380.9675202,1783118384.1219463,137.4068,48.6709,3,wiki-3|wiki-2|wiki-0,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-78,squad,0,3214.439,3772.315,24.969,3189.47,47.3474,11,12258.6,1783118384.4103248,1783118388.1828125,158.6328,52.5104,This document does not contain the answer.,wiki-2|wiki-793|wiki-0,0,0,0.0,0.1667,0.0
laptop,C1,gemma-2-2b-it,squad-79,squad,0,1937.468,2155.976,28.912,1908.556,38.5284,5,12254.8,1783118388.4525347,1783118390.6086564,87.5968,26.9438,5,wiki-3|wiki-5060|wiki-4436,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-80,squad,0,2239.809,2430.302,28.33,2211.479,38.7418,4,12248.6,1783118390.8740752,1783118393.3045273,98.7493,30.3792,CBS,wiki-4|wiki-0|wiki-10288,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-81,squad,0,2182.048,2484.137,6.284,2175.764,48.4117,6,12247.3,1783118393.5711489,1783118396.0554376,103.4523,33.5678,$5 million,wiki-4|wiki-0|wiki-1,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-82,squad,0,2392.663,2530.581,5.532,2387.131,33.3347,4,12247.8,1783118396.313817,1783118398.8445435,105.6047,34.4138,Coldplay,wiki-4|wiki-0|wiki-4464,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-83,squad,0,2284.008,2623.692,28.219,2255.789,41.9308,8,12248.0,1783118399.1032228,1783118401.7270558,109.4899,35.6799,Beyoncé and Bruno Mars.,wiki-4|wiki-0|wiki-4464,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-84,squad,0,2753.338,3158.122,6.844,2746.494,46.8593,8,12243.2,1783118401.9860752,1783118405.1443605,131.7921,42.9476,Super Bowl 50,wiki-4|wiki-3830|wiki-0,0,0,0.6667,1.0,0.8
laptop,C1,gemma-2-2b-it,squad-85,squad,0,2376.76,2567.652,6.274,2370.486,37.531,4,12234.7,1783118405.4007454,1783118407.9685433,107.1516,34.9179,CBS,wiki-4|wiki-0|wiki-3,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-86,squad,0,1581.909,1901.326,25.976,1555.933,37.7647,8,12283.9,1783118408.2226377,1783118410.1241462,79.3481,25.8575,Don't know.,wiki-6980|wiki-2761|wiki-5949,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-87,squad,0,2289.73,2470.142,12.695,2277.035,28.8064,5,12258.5,1783118410.3706794,1783118412.840984,103.0833,33.5922,Bruno Mars,wiki-4|wiki-3882|wiki-5060,0,0,0.0,1.0,0.0
laptop,C1,gemma-2-2b-it,squad-88,squad,0,2319.44,2488.715,4.387,2315.053,27.1244,5,12250.9,1783118413.0675232,1783118415.556359,103.8566,33.8442,Bruno Mars,wiki-4|wiki-3830|wiki-3882,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-89,squad,0,2798.478,2948.487,4.967,2793.511,26.732,4,12245.1,1783118415.8118086,1783118418.760423,123.0427,40.0964,Coldplay,wiki-4|wiki-2721|wiki-4347,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-90,squad,0,2313.449,2427.611,4.272,2309.177,23.2067,4,12250.3,1783118419.007012,1783118421.4347467,101.3069,33.0133,CBS,wiki-4|wiki-0|wiki-10288,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-91,squad,0,2455.658,2629.657,5.681,2449.977,27.361,6,12251.0,1783118421.6506734,1783118424.280449,109.7379,35.7607,$5 million,wiki-4|wiki-0|wiki-3,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-92,squad,0,2919.15,3065.38,5.863,2913.287,26.36,5,12254.5,1783118424.5081732,1783118427.57369,127.9209,41.6861,Bruno Mars,wiki-4|wiki-0|wiki-1354,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-93,squad,0,2380.184,2613.122,6.099,2374.085,27.4862,8,12251.0,1783118427.8000362,1783118430.4133072,109.0492,35.5363,Third-most watched.,wiki-4|wiki-0|wiki-3,0,0,0.5,1.0,0.6667
laptop,C1,gemma-2-2b-it,squad-94,squad,0,2347.587,2494.018,5.144,2342.443,24.871,4,12234.7,1783118430.6239064,1783118433.1180425,104.0778,33.9163,CBS,wiki-3830|wiki-4|wiki-3826,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-95,squad,0,2173.63,2450.245,4.878,2168.752,29.4015,8,12234.2,1783118433.3395827,1783118435.789955,102.2516,33.3211,Don't know.,wiki-3426|wiki-3694|wiki-5949,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-96,squad,0,2582.683,2694.719,25.225,2557.458,23.1708,4,12234.8,1783118436.007967,1783118438.702851,112.7943,36.9856,Coldplay,wiki-4|wiki-0|wiki-3826,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-97,squad,0,1569.693,1843.067,24.331,1545.362,26.8746,9,12213.9,1783118438.9299521,1783118440.7731466,77.2722,25.4221,I don't know.,wiki-4301|wiki-11534|wiki-9362,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,squad-98,squad,0,2662.402,2798.223,5.242,2657.16,22.871,4,12180.8,1783118441.010974,1783118443.8093197,117.3151,38.5959,CBS,wiki-4|wiki-10387|wiki-3830,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-99,squad,0,2343.005,2457.545,4.162,2338.843,23.3137,4,12183.5,1783118444.0146906,1783118446.4723516,103.0325,33.897,Coldplay,wiki-4|wiki-0|wiki-3,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,hotpot-0,hotpotqa,0,1797.926,1934.661,8.757,1789.169,24.138,4,12165.6,1783118446.6863375,1783118448.621124,81.1121,26.6854,American,wiki-6|wiki-10|wiki-5,0,0,0.0,1.0,0.0
laptop,C1,gemma-2-2b-it,hotpot-1,hotpotqa,0,2360.028,2679.881,6.427,2353.601,28.7338,10,12145.2,1783118448.8376286,1783118451.517624,112.3534,36.9636,You don't know.,wiki-22|wiki-6796|wiki-21,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,hotpot-2,hotpotqa,0,2800.785,3001.289,8.04,2792.745,26.4347,6,12131.4,1783118451.7471857,1783118454.7485952,125.8281,41.3966,Animorphs,wiki-40|wiki-5545|wiki-30,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,hotpot-3,hotpotqa,0,1630.141,1782.157,23.312,1606.829,24.4948,5,12130.6,1783118454.9584954,1783118456.7407713,74.7184,24.5819,No.,wiki-50|wiki-49|wiki-42,0,1,1.0,0.0,0.0
laptop,C1,gemma-2-2b-it,hotpot-4,hotpotqa,0,2018.634,2306.919,6.138,2012.496,28.4386,9,12110.2,1783118456.9527836,1783118459.2598171,96.7178,31.8195,You don't know.,wiki-66|wiki-4276|wiki-2292,0,0,0.0,0.0,0.0
laptop,C1,gemma-2-2b-it,hotpot-5,hotpotqa,0,1924.142,2107.491,11.76,1912.382,29.8216,5,12103.7,1783118459.4848902,1783118461.592499,88.3573,29.069,YG Entertainment,wiki-70|wiki-72|wiki-71,0,1,1.0,1.0,1.0
